	qid	rid	q_sen	r_sen	label
0	0	0	采荷一小是分校吧	杭州市采荷第一小学钱江苑校区，杭州市钱江新城实验学校。	1
1	0	1	采荷一小是分校吧	是的	0
2	0	2	采荷一小是分校吧	这是5楼	0
3	1	0	毛坯吗？	因为公积金贷款贷的少	0
4	1	1	毛坯吗？	是呢	0
5	1	2	毛坯吗？	这套一楼带院的，您看看	0
6	1	3	毛坯吗？	房本都是五年外的	0
7	1	4	毛坯吗？	好的??，您先看下	0
8	2	0	你们的佣金费大约是多少和契税是多少。	您是首套还是二套呢？	0
9	2	1	你们的佣金费大约是多少和契税是多少。	所有费用下来654万	1
10	2	2	你们的佣金费大约是多少和契税是多少。	包含着税费和我们的服务费和房款	1
11	2	3	你们的佣金费大约是多少和契税是多少。	好的	0
12	2	4	你们的佣金费大约是多少和契税是多少。	链家天鸿美域店NAME，电话是PHONE（同微信号），随时联系?	0
13	3	0	靠近川沙路嘛？	正常银行贷款，可以自己还的	0
14	3	1	靠近川沙路嘛？	有一点靠近川沙路	1
15	3	2	靠近川沙路嘛？	只有那一套毛坯的不靠近川沙路	0
16	4	0	这套房源价格还有优惠空间吗？	有	1
17	4	1	这套房源价格还有优惠空间吗？	河西区海河沿线的新房，均价30000，带装修，看看去吗，优惠点位很大，五一特惠	0
18	4	2	这套房源价格还有优惠空间吗？	宾水里，肿瘤医院地铁5-6号线旁，私产过五年唯一，3楼，南北通透偏独，业主着急卖，看房有钥匙	0
19	5	0	这个税多少钱	您看看这个	0
20	5	1	这个税多少钱	13楼，精装修的/ 	0
21	5	2	这个税多少钱	您现在方便吗 	0
22	5	3	这个税多少钱	可以先线上带您看一下 	0
23	5	4	这个税多少钱	您稍等一下，给您发链接您点进来就行 	0
24	6	0	这套房源价格还有优惠空间么？	价格周期可谈	1
25	6	1	这套房源价格还有优惠空间么？	您好	0
26	6	2	这套房源价格还有优惠空间么？	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
27	7	0	有房子可以带我看看吗？	宾至路有套82平方的	1
28	7	1	有房子可以带我看看吗？	笋盘	1
29	7	2	有房子可以带我看看吗？	可以带您看一下	1
30	8	0	光线不好，是吗	光线非常好，友联花园都是可以	1
31	8	1	光线不好，是吗	你点开图片，逐一看看	0
32	8	2	光线不好，是吗	?	0
33	9	0	几期的？	是的	0
34	9	1	几期的？	这个是二期的老师	1
35	9	2	几期的？	还有的	0
36	9	3	几期的？	二期都刚下证今年	0
37	9	4	几期的？	一期的有免税的了	0
38	10	0	什么情况呢？	我们下班比较晚，现在也能看房	0
39	10	1	什么情况呢？	哦	0
40	10	2	什么情况呢？	大概是这样的	0
41	10	3	什么情况呢？	偶尔也会根据成交价格稍微有一点儿浮动	0
42	10	4	什么情况呢？	不过这种找房子浮动空间都不大	0
43	11	0	这套房源价格还有优惠空间吗？	这套房子价格还有空间	1
44	11	1	这套房源价格还有优惠空间吗？	具体要看您付款方式	1
45	12	0	边户吗？	对的，	0
46	12	1	边户吗？	三向的，	0
47	12	2	边户吗？	您想了解一下什么，	0
48	13	0	明天还得去看一下这套	明天去看看咯，10点，女朋友妈妈也看看	0
49	13	1	明天还得去看一下这套	我帮你查下啦，刚到家，我看下系统	0
50	13	2	明天还得去看一下这套	我今天跑到亚运城看新房了，累死了😂，五一太火爆了	0
51	14	0	看房方便吗	这套房子在4楼，是中层楼	0
52	14	1	看房方便吗	你好	0
53	14	2	看房方便吗	七八户😅😅😅	0
54	15	0	这个小区配套哪个小学和中学	小学是砂子塘万科魅力之城小学	1
55	15	1	这个小区配套哪个小学和中学	中学是微机派位的	1
56	15	2	这个小区配套哪个小学和中学	附近的有雅礼雨花、一中新华都、南雅中学这些	1
57	15	3	这个小区配套哪个小学和中学	最近的是雅礼雨花和一中新华都	1
58	16	0	首付多少	首套房	1
59	16	1	首付多少	首付办完 63万左右	1
60	16	2	首付多少	包含全部	0
61	17	0	价格最低多少卖？	没有说，但是估计少不到多少	1
62	17	1	价格最低多少卖？	3楼房子卖了	0
63	17	2	价格最低多少卖？	这套房子可以哟	0
64	18	0	采光怎么样呢？	随时可以看房的	0
65	18	1	采光怎么样呢？	今天有时间吗	0
66	18	2	采光怎么样呢？	我拿好钥匙可以直接现场看的	0
67	18	3	采光怎么样呢？	好的 就考虑义堂这块小三室吗	0
68	18	4	采光怎么样呢？	只看二环里吗？	0
69	19	0	想看一下房子	可以啊	1
70	19	1	想看一下房子	您什么时候看	1
71	19	2	想看一下房子	好的	0
72	20	0	这个房子价格能谈吗	您好	0
73	20	1	这个房子价格能谈吗	价格可以谈	1
74	20	2	这个房子价格能谈吗	水仙的	0
